Starred,Model ID,Feature List ID,Feature List,Model Features,Sample Size,Prediction Threshold,Modeling Results,Model Type,Reference Model,Prediction Threshold Locked,Insights,DataRobot Prime,Sample %,Holdout Size,Predicted Ram Usage,Total Prediction API Requirements,Uses GPU,Monotonic Constraints,Monotonic Feature List,Smart Sampling,Smart Sample Size
False,6417f79074becafa6bce9ada,6417f5c54d9746edaef5f8cb,Informative Features,"Missing Values Imputed, Standardize, Regularized Logistic Regression (L2)",34615,0.5,"AUC: [0.53739], Area Under PR Curve: [0.51279], FVE Binomial: [0.003], Gini Norm: [0.07478], Kolmogorov-Smirnov: [0.07755], LogLoss: [0.69103], Max MCC: [0.09448], RMSE: [0.49894], Rate@Top10%: [0.48527], Rate@Top5%: [0.45292], Rate@TopTenth%: [0.2], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Regularized Logistic Regression (L2),True,False,NA,False,15.999908,43269,,0,False,False,,,
False,6417fab0f3f3e7c68c4d190a,6417f5c54d9746edaef5f8cb,Informative Features,"Missing Values Imputed, Standardize, Regularized Logistic Regression (L2)",69230,0.5,"AUC: [0.53733], Area Under PR Curve: [0.513], FVE Binomial: [0.00335], Gini Norm: [0.07466], Kolmogorov-Smirnov: [0.07886], LogLoss: [0.69079], Max MCC: [0.08545], RMSE: [0.49882], Rate@Top10%: [0.48411], Rate@Top5%: [0.46332], Rate@TopTenth%: [0.2], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Regularized Logistic Regression (L2),True,False,NA,False,31.999816,43269,,0,False,False,,,
False,6417f79074becafa6bce9adf,6417f5c54d9746edaef5f8cb,Informative Features,"Missing Values Imputed, Generalized Additive2 Model, Text fit on Residuals (L2 / Binomial Deviance)",34615,0.5,"AUC: [0.95799], Area Under PR Curve: [0.97352], FVE Binomial: [0.76314], Gini Norm: [0.91598], Kolmogorov-Smirnov: [0.90813], LogLoss: [0.16417], Max MCC: [0.91119], RMSE: [0.20902], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Generalized Additive2 Model,False,False,NA,False,15.999908,43269,,0,False,True,,,
False,6417faaff3f3e7c68c4d1903,6417f5c54d9746edaef5f8cb,Informative Features,"Missing Values Imputed, Generalized Additive2 Model, Text fit on Residuals (L2 / Binomial Deviance)",69230,0.5,"AUC: [0.96293], Area Under PR Curve: [0.97659], FVE Binomial: [0.77306], Gini Norm: [0.92586], Kolmogorov-Smirnov: [0.91184], LogLoss: [0.1573], Max MCC: [0.9145], RMSE: [0.20253], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Generalized Additive2 Model,False,False,NA,False,31.999816,43269,,0,False,True,,,
False,6417fe6ccbdcdfcc844a8e82,6417f5c54d9746edaef5f8cb,Informative Features,"Missing Values Imputed, Generalized Additive2 Model, Text fit on Residuals (L2 / Binomial Deviance)",138460,0.5,"AUC: [0.96321], Area Under PR Curve: [0.97688], FVE Binomial: [0.77732], Gini Norm: [0.92642], Kolmogorov-Smirnov: [0.91351], LogLoss: [0.15434], Max MCC: [0.91618], RMSE: [0.2007], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Generalized Additive2 Model,False,False,NA,False,63.999631,43269,,0,False,True,,,
False,6417f79074becafa6bce9ae7,6417f5c54d9746edaef5f8cb,Informative Features,"Missing Values Imputed, Feature Selection for Ratios/Differences, Search for differences, eXtreme Gradient Boosted Trees Classifier with Early Stopping (Fast Feature Binning)",34615,0.5,"AUC: [0.97866], Area Under PR Curve: [0.98547], FVE Binomial: [0.82987], Gini Norm: [0.95732], Kolmogorov-Smirnov: [0.93545], LogLoss: [0.11792], Max MCC: [0.93683], RMSE: [0.17444], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",eXtreme Gradient Boosted Trees Classifier with Early Stopping (Fast Feature Binning),False,False,NA,False,15.999908,43269,,0,False,False,,,
False,6417faaff3f3e7c68c4d18ff,6417f5c54d9746edaef5f8cb,Informative Features,"Missing Values Imputed, Feature Selection for Ratios/Differences, Search for differences, eXtreme Gradient Boosted Trees Classifier with Early Stopping (Fast Feature Binning)",69230,0.5,"AUC: [0.97978], Area Under PR Curve: [0.98631], FVE Binomial: [0.83798], Gini Norm: [0.95956], Kolmogorov-Smirnov: [0.93928], LogLoss: [0.1123], Max MCC: [0.94047], RMSE: [0.16986], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",eXtreme Gradient Boosted Trees Classifier with Early Stopping (Fast Feature Binning),False,False,NA,False,31.999816,43269,,0,False,False,,,
False,6417fe6ccbdcdfcc844a8e80,6417f5c54d9746edaef5f8cb,Informative Features,"Missing Values Imputed, Feature Selection for Ratios/Differences, Search for differences, eXtreme Gradient Boosted Trees Classifier with Early Stopping (Fast Feature Binning)",138460,0.5,"AUC: [0.98152], Area Under PR Curve: [0.98751], FVE Binomial: [0.84973], Gini Norm: [0.96304], Kolmogorov-Smirnov: [0.94574], LogLoss: [0.10416], Max MCC: [0.94654], RMSE: [0.16171], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",eXtreme Gradient Boosted Trees Classifier with Early Stopping (Fast Feature Binning),False,False,NA,False,63.999631,43269,,0,False,False,,,
False,6417f79074becafa6bce9ae3,6417f5c54d9746edaef5f8cb,Informative Features,"Missing Values Imputed, Smooth Ridit Transform, Regularized Logistic Regression (L2)",34615,0.5,"AUC: [0.9364], Area Under PR Curve: [0.95939], FVE Binomial: [0.63938], Gini Norm: [0.8728], Kolmogorov-Smirnov: [0.85061], LogLoss: [0.24995], Max MCC: [0.85761], RMSE: [0.26137], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Regularized Logistic Regression (L2),False,False,NA,False,15.999908,43269,,0,False,False,,,
False,6417fab0f3f3e7c68c4d1908,6417f5c54d9746edaef5f8cb,Informative Features,"Missing Values Imputed, Smooth Ridit Transform, Regularized Logistic Regression (L2)",69230,0.5,"AUC: [0.93697], Area Under PR Curve: [0.95974], FVE Binomial: [0.64127], Gini Norm: [0.87394], Kolmogorov-Smirnov: [0.85394], LogLoss: [0.24864], Max MCC: [0.86101], RMSE: [0.26067], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Regularized Logistic Regression (L2),False,False,NA,False,31.999816,43269,,0,False,False,,,
False,6417f79074becafa6bce9add,6417f5c54d9746edaef5f8cb,Informative Features,"Missing Values Imputed, Standardize, Smooth Ridit Transform, Elastic-Net Classifier (L2 / Binomial Deviance)",34615,0.5,"AUC: [0.95359], Area Under PR Curve: [0.97], FVE Binomial: [0.72395], Gini Norm: [0.90718], Kolmogorov-Smirnov: [0.88287], LogLoss: [0.19134], Max MCC: [0.888], RMSE: [0.23214], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Elastic-Net Classifier (L2 / Binomial Deviance),False,False,NA,False,15.999908,43269,,0,False,False,,,
