Starred,Model ID,Feature List ID,Feature List,Model Features,Sample Size,Prediction Threshold,Modeling Results,Model Type,Reference Model,Prediction Threshold Locked,Insights,DataRobot Prime,Sample %,Holdout Size,Predicted Ram Usage,Total Prediction API Requirements,Uses GPU,Monotonic Constraints,Monotonic Feature List,Smart Sampling,Smart Sample Size
False,6417fcf998303423e1261358,6417f82594c7bf6813a168aa,Informative Features,"Missing Values Imputed, Standardize, Regularized Logistic Regression (L2)",34537,0.5,"AUC: [0.53771], Area Under PR Curve: [0.51159], FVE Binomial: [0.00265], Gini Norm: [0.07542], Kolmogorov-Smirnov: [0.085], LogLoss: [0.69127], Max MCC: [0.09622], RMSE: [0.49906], Rate@Top10%: [0.48581], Rate@Top5%: [0.39838], Rate@TopTenth%: [0.14286], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Regularized Logistic Regression (L2),True,False,NA,False,15.999871,43172,,0,False,False,,,
False,6418000458cbf04cd2cdaf54,6417f82594c7bf6813a168aa,Informative Features,"Missing Values Imputed, Standardize, Regularized Logistic Regression (L2)",69074,0.5,"AUC: [0.53918], Area Under PR Curve: [0.51584], FVE Binomial: [0.00333], Gini Norm: [0.07836], Kolmogorov-Smirnov: [0.07931], LogLoss: [0.6908], Max MCC: [0.0853], RMSE: [0.49883], Rate@Top10%: [0.48929], Rate@Top5%: [0.47539], Rate@TopTenth%: [0.08571], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Regularized Logistic Regression (L2),True,False,NA,False,31.999741,43172,,0,False,False,,,
False,6417fcf998303423e126135d,6417f82594c7bf6813a168aa,Informative Features,"Missing Values Imputed, Generalized Additive2 Model, Text fit on Residuals (L2 / Binomial Deviance)",34537,0.5,"AUC: [0.9617], Area Under PR Curve: [0.97555], FVE Binomial: [0.76821], Gini Norm: [0.9234], Kolmogorov-Smirnov: [0.90908], LogLoss: [0.16066], Max MCC: [0.91202], RMSE: [0.2066], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Generalized Additive2 Model,False,False,NA,False,15.999871,43172,,0,False,True,,,
False,6418000458cbf04cd2cdaf4c,6417f82594c7bf6813a168aa,Informative Features,"Missing Values Imputed, Generalized Additive2 Model, Text fit on Residuals (L2 / Binomial Deviance)",69074,0.5,"AUC: [0.96369], Area Under PR Curve: [0.97687], FVE Binomial: [0.77532], Gini Norm: [0.92738], Kolmogorov-Smirnov: [0.91177], LogLoss: [0.15573], Max MCC: [0.91437], RMSE: [0.20333], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Generalized Additive2 Model,False,False,NA,False,31.999741,43172,,0,False,True,,,
False,6418041350b38c4df333b61d,6417f82594c7bf6813a168aa,Informative Features,"Missing Values Imputed, Generalized Additive2 Model, Text fit on Residuals (L2 / Binomial Deviance)",138148,0.5,"AUC: [0.96548], Area Under PR Curve: [0.97806], FVE Binomial: [0.78282], Gini Norm: [0.93096], Kolmogorov-Smirnov: [0.91304], LogLoss: [0.15053], Max MCC: [0.9156], RMSE: [0.19951], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Generalized Additive2 Model,False,False,NA,False,63.999482,43172,,0,False,True,,,
False,6417fcf998303423e1261365,6417f82594c7bf6813a168aa,Informative Features,"Missing Values Imputed, Feature Selection for Ratios/Differences, Search for differences, eXtreme Gradient Boosted Trees Classifier with Early Stopping (Fast Feature Binning)",34537,0.5,"AUC: [0.96464], Area Under PR Curve: [0.97758], FVE Binomial: [0.78534], Gini Norm: [0.92928], Kolmogorov-Smirnov: [0.91581], LogLoss: [0.14878], Max MCC: [0.91832], RMSE: [0.19818], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",eXtreme Gradient Boosted Trees Classifier with Early Stopping (Fast Feature Binning),False,False,NA,False,15.999871,43172,,0,False,False,,,
False,6418000458cbf04cd2cdaf4a,6417f82594c7bf6813a168aa,Informative Features,"Missing Values Imputed, Feature Selection for Ratios/Differences, Search for differences, eXtreme Gradient Boosted Trees Classifier with Early Stopping (Fast Feature Binning)",69074,0.5,"AUC: [0.96748], Area Under PR Curve: [0.97965], FVE Binomial: [0.79712], Gini Norm: [0.93496], Kolmogorov-Smirnov: [0.9223], LogLoss: [0.14062], Max MCC: [0.92443], RMSE: [0.1914], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",eXtreme Gradient Boosted Trees Classifier with Early Stopping (Fast Feature Binning),False,False,NA,False,31.999741,43172,,0,False,False,,,
False,6418041350b38c4df333b619,6417f82594c7bf6813a168aa,Informative Features,"Missing Values Imputed, Feature Selection for Ratios/Differences, Search for differences, eXtreme Gradient Boosted Trees Classifier with Early Stopping (Fast Feature Binning)",138148,0.5,"AUC: [0.96882], Area Under PR Curve: [0.98063], FVE Binomial: [0.80504], Gini Norm: [0.93764], Kolmogorov-Smirnov: [0.92832], LogLoss: [0.13513], Max MCC: [0.93005], RMSE: [0.18698], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",eXtreme Gradient Boosted Trees Classifier with Early Stopping (Fast Feature Binning),False,False,NA,False,63.999482,43172,,0,False,False,,,
False,6417fcf998303423e1261361,6417f82594c7bf6813a168aa,Informative Features,"Missing Values Imputed, Smooth Ridit Transform, Regularized Logistic Regression (L2)",34537,0.5,"AUC: [0.94133], Area Under PR Curve: [0.96279], FVE Binomial: [0.64905], Gini Norm: [0.88266], Kolmogorov-Smirnov: [0.86739], LogLoss: [0.24324], Max MCC: [0.87378], RMSE: [0.25378], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Regularized Logistic Regression (L2),False,False,NA,False,15.999871,43172,,0,False,False,,,
False,6418000458cbf04cd2cdaf52,6417f82594c7bf6813a168aa,Informative Features,"Missing Values Imputed, Smooth Ridit Transform, Regularized Logistic Regression (L2)",69074,0.5,"AUC: [0.94115], Area Under PR Curve: [0.96267], FVE Binomial: [0.65058], Gini Norm: [0.8823], Kolmogorov-Smirnov: [0.8694], LogLoss: [0.24219], Max MCC: [0.87564], RMSE: [0.25349], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Regularized Logistic Regression (L2),False,False,NA,False,31.999741,43172,,0,False,False,,,
